Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2f7IhxfM0yLSqGOPyzlYvi,"Demanufacture","Demanufacture (Special Edition)","Fear Factory",1995,252853,52,false,vicho-x,2026-04-24T18:28:29Z,"metal industrial,groove metal,rock industrial,industrial,nu metal,metal,rap metal","Roadrunner Records",0.547,0.981,1,-4.979,1,0.0934,0.0000429,0.000318,0.0737,0.185,96.035,4
spotify:track:2aIB1CdRRG7YLBu9hNw9nR,"The Beautiful People","Antichrist Superstar","Marilyn Manson",1996,218826,77,true,vicho-x,2026-04-24T18:28:40Z,"metal industrial,rock industrial,industrial,metal,nu metal","Marilyn Manson / Interscope",0.621,0.834,10,-10.068,0,0.0557,0.000779,0.456,0.0611,0.937,143.973,4
spotify:track:3gVhsZtseYtY1fMuyYq06F,"Sonne","Mutter","Rammstein",2001-04-02,272440,81,false,vicho-x,2026-04-24T18:28:52Z,"metal industrial,metal,rock industrial,industrial","Vertigo Berlin",0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4
spotify:track:03VOVzm7lFiwuka8rtznIv,"WTF Is Wrong with You People?","What the Fuck is Wrong With You People?","Combichrist",2007-03-02,300000,39,true,vicho-x,2026-04-24T18:29:14Z,"industrial,ebm,metal industrial,rock industrial,dark wave","Out of Line Music",0.526,0.935,1,-5.885,1,0.051,0.000496,0.0000217,0.182,0.147,119.992,4
spotify:track:07zQA8UkyxpmnRhPjHOVOB,"Blow Your Trumpets Gabriel","The Satanist","Behemoth",2014-02-07,265440,47,true,vicho-x,2026-04-24T18:29:50Z,"black metal,death metal,metal","Nuclear Blast",0.175,0.945,6,-4.632,1,0.0832,0.000226,0.0056,0.285,0.169,118.282,4
spotify:track:38pLq8WPZAOYBHnvAgPp9u,"Progenies of the Great Apocalypse","Death Cult Armageddon","Dimmu Borgir",2003-09-28,317800,52,false,vicho-x,2026-04-24T18:30:39Z,"black metal,metal,metal sinfónico","Nuclear Blast",0.11,0.939,3,-3.975,0,0.104,0.000391,0.35,0.145,0.097,88.58,5
spotify:track:1mTCbTpcM1nKkH0wGf70Zq,"Jagdzeit","Götterdämmerung","Megaherz",2012-01-20,258106,45,false,vicho-x,2026-04-24T18:30:49Z,"metal industrial,industrial,rock industrial,ebm,metal medieval","Golden Core",0.638,0.912,11,-5.229,0,0.0682,0.000304,0.00912,0.113,0.725,138.02,4
spotify:track:19IIy6I6bt7nY9OvefSF6K,"Forever Failure - Remastered","Draconian Times (25th Anniversary Edition)","Paradise Lost",2020-12-04,258146,24,false,vicho-x,2026-04-24T18:32:07Z,"metal gótico,doom metal,rock gótico,sludge metal,metal,stoner metal","Music For Nations",0.466,0.821,9,-6.169,0,0.0387,0.00143,0.0143,0.218,0.322,105.753,4
spotify:track:6CVyRnypqxJ3lXzvTV7xm7,"Day and Then the Shade","Night Is the New Day","Katatonia",2009-01-01,266853,27,false,vicho-x,2026-04-24T18:32:23Z,"metal gótico,doom metal,metal progresivo,rock progresivo,metal","Peaceville Records",0.382,0.864,10,-6.828,0,0.0326,0.000237,0.000232,0.452,0.576,164.98,3
spotify:track:27tX58NOpv1YKQ0abW7EPy,"Hurt","The Downward Spiral","Nine Inch Nails",1994-03-08,374440,64,false,vicho-x,2026-04-24T18:32:34Z,"rock industrial,industrial,metal industrial,metal alternativo,nu metal","Universal-Island Records Ltd.",0.566,0.124,11,-18.166,0,0.0431,0.709,0.0104,0.132,0.11,79.924,4
